"SourceAdd","SourcePort","DestinationAdd","DestinationPort","Protocol","Length","TCP Window Size","TCP Length","UDP Length","HTTP Request Method"
"208.82.236.129","80","192.168.3.131","58272","TCP","60","4944","0","",""
"65.54.95.140","80","192.168.3.131","55963","TCP","60","65696","0","",""
"192.168.3.131","55963","65.54.95.140","80","TCP","54","65700","0","",""
"72.14.213.18","443","192.168.3.131","49673","TLSv1","134","1002","80","",""
"72.14.213.18","443","192.168.3.131","49673","TLSv1","87","1002","33","",""
"192.168.3.131","49673","72.14.213.18","443","TCP","54","16376","0","",""
"72.14.213.18","443","192.168.3.131","49673","TCP","60","1002","0","",""
"72.14.213.18","443","192.168.3.131","49673","TCP","60","1002","0","",""
"72.14.213.18","443","192.168.3.131","49673","TLSv1","109","1002","55","",""
"72.14.213.18","443","192.168.3.131","49673","TLSv1","134","1002","80","",""
"192.168.3.131","49673","72.14.213.18","443","TCP","54","16343","0","",""
"192.168.3.131","55963","65.54.95.140","80","TCP","54","65700","0","",""
"192.168.3.131","55973","65.54.95.142","80","TCP","54","65700","0","",""
"65.54.95.140","80","192.168.3.131","55963","TCP","60","65696","0","",""
"65.54.95.142","80","192.168.3.131","55973","TCP","60","65696","0","",""
"192.168.3.131","55972","207.46.216.54","80","HTTP","609","64030","555","","GET"
"192.168.3.131","55956","66.235.139.121","80","HTTP","1342","64440","1288","","GET"
"207.46.216.54","80","192.168.3.131","55972","HTTP","264","64240","210","",""
"66.235.139.121","80","192.168.3.131","55956","HTTP","631","7869","577","",""
"192.168.3.131","55972","207.46.216.54","80","TCP","54","63820","0","",""
"192.168.3.131","55956","66.235.139.121","80","TCP","54","65700","0","",""
"72.14.213.147","443","192.168.3.131","52152","TCP","60","42240","0","",""
"72.14.213.147","443","192.168.3.131","52152","TLSv1","113","42240","59","",""
